"Story","Title","Result","Date","Stability","Duration (s)"
"As an admin","POST- Login with valid email and password","SUCCESS","2022-05-18T20:42:55.8703689+07:00[Asia/Jakarta]","0.0","96.59"
"As an admin","POST - Login with valid email but invalid password","SUCCESS","2022-05-18T20:44:33.5367317+07:00[Asia/Jakarta]","0.0","1.39"
"As an admin","POST - Login with invalid email and password","SUCCESS","2022-05-18T20:44:34.9530879+07:00[Asia/Jakarta]","0.0","1.54"
"As an Admin","POST - Create user with new email","SUCCESS","2022-05-18T20:42:58.8674364+07:00[Asia/Jakarta]","0.0","82.31"
"As an Admin","POST - Create user using registered email","SUCCESS","2022-05-18T20:44:22.376382+07:00[Asia/Jakarta]","0.0","1.24"
"As an Admin","POST - Give ratings to a product","SUCCESS","2022-05-18T20:42:59.0134723+07:00[Asia/Jakarta]","0.0","80.9"
"As an Admin","GET - get product's ratings","SUCCESS","2022-05-18T20:44:21.3976119+07:00[Asia/Jakarta]","0.0","9.83"
"As an Admin","POST - Create order","SUCCESS","2022-05-18T20:43:02.3968268+07:00[Asia/Jakarta]","0.0","88.78"
"As an Admin","GET -  Get all orders","SUCCESS","2022-05-18T20:44:33.6977688+07:00[Asia/Jakarta]","0.0","2.22"
"As an Admin","POST - Invalid request for create order","SUCCESS","2022-05-18T20:44:35.9614862+07:00[Asia/Jakarta]","0.0","1.23"
"As An admin","GET - All Products","SUCCESS","2022-05-18T20:43:01.3171812+07:00[Asia/Jakarta]","0.0","80.17"
"As An admin","POST - Create Product","SUCCESS","2022-05-18T20:44:23.0936484+07:00[Asia/Jakarta]","0.0","11.84"
"As An admin","GET - Product by ID","SUCCESS","2022-05-18T20:44:36.0265034+07:00[Asia/Jakarta]","0.0","1.68"
"As an Admin","POST - write comment to a product","SUCCESS","2022-05-18T20:42:58.9414543+07:00[Asia/Jakarta]","0.0","92.79"
"As an Admin","GET - Get product's comments","SUCCESS","2022-05-18T20:44:32.1092882+07:00[Asia/Jakarta]","0.0","3.98"
