"Story","Title","Result","Date","Stability","Duration (s)"
"As an admin","POST- Login with valid email and password","SUCCESS","2022-05-17T20:23:30.8824505+07:00[Asia/Jakarta]","0.0","21.28"
"As an admin","POST - Login with valid email but invalid password","SUCCESS","2022-05-17T20:23:52.1862178+07:00[Asia/Jakarta]","0.0","0.72"
"As an admin","POST - Login with invalid email and password","SUCCESS","2022-05-17T20:23:52.9274046+07:00[Asia/Jakarta]","0.0","0.48"
"As an Admin","POST - Create user with new email","SUCCESS","2022-05-17T20:23:30.6275623+07:00[Asia/Jakarta]","0.0","15.73"
"As an Admin","POST - Create user using registered email","SUCCESS","2022-05-17T20:23:47.2299827+07:00[Asia/Jakarta]","0.0","1.12"
"As an Admin","POST - Give ratings to a product","SUCCESS","2022-05-17T20:23:31.0225404+07:00[Asia/Jakarta]","0.0","15.7"
"As an Admin","GET - get product's ratings","SUCCESS","2022-05-17T20:23:46.7466032+07:00[Asia/Jakarta]","0.0","4.62"
"As an Admin","POST - Create order","SUCCESS","2022-05-17T20:23:30.0716556+07:00[Asia/Jakarta]","0.0","21.87"
"As an Admin","GET -  Get all orders","SUCCESS","2022-05-17T20:23:52.0021724+07:00[Asia/Jakarta]","0.0","0.6"
"As an Admin","POST - Invalid request for create order","SUCCESS","2022-05-17T20:23:52.6243288+07:00[Asia/Jakarta]","0.0","0.83"
"As An admin","GET - All Products","SUCCESS","2022-05-17T20:23:30.9434663+07:00[Asia/Jakarta]","0.0","16.89"
"As An admin","POST - Create Product","SUCCESS","2022-05-17T20:23:47.9407238+07:00[Asia/Jakarta]","0.0","4.35"
"As An admin","GET - Product by ID","SUCCESS","2022-05-17T20:23:52.3742643+07:00[Asia/Jakarta]","0.0","1.12"
"As an Admin","POST - write comment to a product","SUCCESS","2022-05-17T20:23:30.6573926+07:00[Asia/Jakarta]","0.0","21.13"
"As an Admin","GET - Get product's comments","SUCCESS","2022-05-17T20:23:51.8971437+07:00[Asia/Jakarta]","0.0","1.11"
